cityid,cidade,lat,long,diasfrom,date,text
2,São Paulo- São Paulo- Brazil,-22.0,-49.0,32,2020-03-21 17:29:17+00:00,Eu to a 3 dias tendo “febre” que só eu sinto kkkk o termômetro da 36,5 e eu sinto que to nos 40 e ontem tive muita falta de ar e uma crise de choro em seguida isso é o que o medo e ansiedade faz com a gente
7,São José do Rio Preto- São Paulo- Brazil,-20.81972,-49.37944,32,2020-03-21 16:53:22+00:00,Acordei morrendo de febre falta de ar e uma dor insuportável no corpo 
6,Presidente Prudente- São Paulo- Brazil,-22.12556,-51.38889,31,2020-03-21 12:53:21+00:00,Sintomas de uma gripe normal Só que com febre alta e falta de ar
2,São Paulo- São Paulo- Brazil,-22.0,-49.0,31,2020-03-20 22:18:02+00:00,sera que coronei to com tosse e falta de ar
3,Ribeirão Preto- São Paulo- Brazil,-21.1775,-47.81028,31,2020-03-20 20:21:54+00:00,O que está esperando pra decretar que tudo deve fechar? Algum caso finalmente confirmar ou termos algumas mortes? Pq sem querer ser chato na empresa que eu trabalho motorista nosso está com muita falta de ar tosse e catarro. Detalhe minha esposa que recepcionou ele na empresa
2,São Paulo- São Paulo- Brazil,-22.0,-49.0,31,2020-03-20 17:31:01+00:00,falta de ar dor de garganta tosse seca e longa devo me preocupar?
2,São Paulo- São Paulo- Brazil,-22.0,-49.0,31,2020-03-20 16:29:29+00:00,@simsousilva Um bom exercício recomendado é segurar o ar por alguns segundos - no mínimo 10s - pq quem está com corona geralmente tosse ou sente falta de ar se faz esse exercício de ar.
2,São Paulo- São Paulo- Brazil,-22.0,-49.0,30,2020-03-20 13:24:24+00:00,Precisamos divulgar sem cansar para as pessoas - FICAREM EM CASA. Hospital somente se dificuldade de respirar com falta de ar. Sem dúvida medidas restritivas agora ajudaram muito.
2,São Paulo- São Paulo- Brazil,-22.0,-49.0,30,2020-03-20 03:23:44+00:00,amiga alguns dos sintomas vão aparecer pra gente por conta do stress e ansiedade (dor no corpo e de cabeça falta de ar as vezes etc). fica atenta e se tiver febre corre numa ubs. se cuida!!
8,Araraquara- São Paulo- Brazil,-21.79444,-48.17556,30,2020-03-19 22:20:14+00:00,Outra medida que está sendo elaborada é a extensão do horário de atendimento dos postos de saúde até o período da noite. Em caso de qualquer dúvida ou sintoma semelhante ao coronavírus (febre persistente tosse e falta de ar) telefone para 0800-771-7723 e siga as orientações.
2,São Paulo- São Paulo- Brazil,-22.0,-49.0,30,2020-03-19 15:05:12+00:00,Minha roomie começou com dor de cabeça e dor de garganta na noite passada. A amiga dela que esteve aqui no fds começou com febre e falta de ar. Bom é isto o ceifador está na minha porta
2,São Paulo- São Paulo- Brazil,-22.0,-49.0,29,2020-03-18 15:11:27+00:00,O sintoma de dificuldade para respirar como ele é? Tenho uma dificuldade para respirar fundo eu puxo ar pelo nariz parece insuficiente e acabo tendo que puxar pela boca e as vezes nem pela boca vem o ar oq seria isso q estou tendo? #perguntacorona
2,São Paulo- São Paulo- Brazil,-22.0,-49.0,28,2020-03-18 09:49:58+00:00,Verifique se há febre e falta de ar. Se não só fique em casa. Não sei se é uma semana ou quinze dias p esperar o sintoma passar.
2,São Paulo- São Paulo- Brazil,-22.0,-49.0,28,2020-03-18 07:34:42+00:00,to com dor de garganta tosse febre e falta de ar (mas eu tenho asma então n conta). será se devo me preocupar ou é só uma gripe?
1,Birigui- São Paulo- Brazil,-21.28861,-50.34,28,2020-03-18 03:04:13+00:00,Estou com sintomas do corona mas devem ser psicológicos de tanto que coloquei na cabeça que sou grupo de risco só sei que to sentindo mal estar tipo febre gripe e minha falta de ar passou
9,Marília- São Paulo- Brazil,-22.21389,-49.94583,28,2020-03-17 22:28:15+00:00,Eu vou fazer um desabafo: Há menos de dois meses comecei o tratamento da asma visto que passei os últimos 2 anos tendo crises absurdas de tosse e falta de ar. Nunca escondi isso de ninguém inclusive já falei sobre o assunto no meu local de trabalho.
10,São José do Rio Preto Airport- São Paulo- Brazil,-20.8166,-49.4065,27,2020-03-17 12:52:43+00:00,toda vez que eu penso em falta de ar eu sinto dificuldade de respirar
11,Araçatuba- São Paulo- Brazil,-21.20889,-50.43278,27,2020-03-16 20:26:08+00:00,Não pode nem tossir ficar com falta de ar ter febre casaco tosse seca náusea vômito diarreia congestão nasal coriza dor de garganta q “aAAAaa é cOrOnAviRUs” que saco 
2,São Paulo- São Paulo- Brazil,-22.0,-49.0,27,2020-03-16 20:18:31+00:00,Minha irmã estava com alguns sintomas típicos do coronavírus (tosse e falta de ar) e procurou um hospital em Campinas hoje. Como ela não viajou o médico fez pouco caso e disse que ainda não existe contágio de brasileiro para brasileiro.
12,Jales- São Paulo- Brazil,-20.26889,-50.54583,27,2020-03-16 16:37:15+00:00,Qm não está com sintomas graves (febre ou falta de ar) não precisa ir ao médico e ficar em casa msm se não estiver doente se vc puder pra não correr risco de contágio
13,Bauru- São Paulo- Brazil,-22.31472,-49.06056,34,2020-03-23 20:13:56+00:00,Eu torcendo pra empresa que eu trabalho deixar eu trabalhar home office hoje e eu acordo com a garganta ruim falta de ar dor de cabeça e febre acho que tomei no cu
14,Socorro- São Paulo- Brazil,-22.60626,-46.50989,33,2020-03-22 16:39:53+00:00,Não adianta ir ao médico simplesmente pq ficou resfriado! O ideal é ficou resfriado se isola e espera! Se apresentar gripe tosse falta d ar e febre persistente aí sim procura o médico! Por incrível que pareça o hospital é o lugar mais perigoso para quem não está infectado! 
15,Americana- São Paulo- Brazil,-22.73917,-47.33139,32,2020-03-22 00:54:31+00:00,Por isso que te mandei esse tweet Na minha visão qualquer falta de ar,mesmo episódica é sinal de gravidade,ainda mais com os seus antecedentes pulmonares,eu penso que falta de ar e tosse são sempre indicações pra ir ao hospital
15,Americana- São Paulo- Brazil,-22.73917,-47.33139,32,2020-03-22 00:22:31+00:00,O que eu deixo de orientação é vc procurar o hospital se tiver falta de ar,tosse ou dor no tórax,vão ser os sinais de gravidade.O mais importante não é fazer o possível diagnóstico de COVID-19 e sim tirar vc da falta de ar e da dor e tosse.Qualquer dúvida me avise
13,Bauru- São Paulo- Brazil,-22.31472,-49.06056,31,2020-03-21 10:38:46+00:00,Minha vó com febre e falta de ar pqpp 
16,Araras- São Paulo- Brazil,-22.35694,-47.38417,31,2020-03-20 18:13:41+00:00,A Prefeitura de Araras disponibiliza a partir deste sábado (21) seis unidades sentinela para atender pacientes com problemas respiratórios como falta de ar e febre sintomas característicos de doenças gripais graves. 
16,Araras- São Paulo- Brazil,-22.35694,-47.38417,30,2020-03-19 23:59:24+00:00,Hoje eu já tive falta de ar e febre tudo psicológica hahahahahahahaha
17,Santa Bárbara d'Oeste- São Paulo- Brazil,-22.75361,-47.41361,30,2020-03-19 22:36:20+00:00,Eu não estive com ngm com suspeita de corona mas tenho asma e estou com falta de ar e tosse crise de asma msm devo fazer o quê? #URGENTE #coronavirus
18,Itapira- São Paulo- Brazil,-22.43611,-46.82167,30,2020-03-19 21:01:27+00:00,Eu tenho crises alérgicas frequentes e tbm de ansiedade hora que recebi o comunicado que a loja em que trabalho iria fechar entrando na tal quarentena atacou tudo falta de ar tosse tremedeira... Liguei pra minha madrinha me orientou a tomar meu remedio e colocar máscara
19,Alto De Pinheiros- São Paulo- Brazil,-23.54761,-46.71196,29,2020-03-19 11:42:04+00:00,As pessoas precisam é fazer o teste de imediato. Que loucura. Dia 2 fui no hospital com falta de ar no PS da Lapa e não me atenderam porque eu não tinha febre. O tempo de espera na fila era de 4 horas. Me mandaram embora. O PS estava muito cheio.
19,Alto De Pinheiros- São Paulo- Brazil,-23.54761,-46.71196,29,2020-03-19 11:31:14+00:00,Sim muita gente que conheço pegou resfriado. Fiquei resfriada dia 21 e cai de cama. 4 dias derrubada. Dia 2 começou a falta de ar. Febre? Segundo os médicos não tive Dia 21 deu 37 37,5 não passou disso.
20,São Carlos- São Paulo- Brazil,-22.0175,-47.89083,29,2020-03-19 03:58:07+00:00,eu fico com falta de ar só lendo que um dos sintomas do coronavirus é dificuldade de respirar
13,Bauru- São Paulo- Brazil,-22.31472,-49.06056,29,2020-03-18 20:14:47+00:00,tem q ter falta de ar se não tiver insuficiência não é a doenca ataca a parte respiratória do corpo febre tosse mal estar é só gripe comum
13,Bauru- São Paulo- Brazil,-22.31472,-49.06056,28,2020-03-17 17:34:17+00:00,update: -tosse -cansaço (hoje de manhã)-falta de ar momentânea fui no médico: provavelmente uma virose comum no momento -tosse -cansaço -febre pois é meus caros
20,São Carlos- São Paulo- Brazil,-22.0175,-47.89083,28,2020-03-17 17:12:29+00:00,Eu não acordei com tosse e falta de ar não né
21,Pedreira- São Paulo- Brazil,-22.75077,-46.89089,27,2020-03-16 20:47:41+00:00,A Celinha hoje: -pessoal alguém está com sintoma gripal por favor me acompanhe” O véio: O paciente entra na triagem -Aí to com tosse e falta de ar MAI Q CARAIIOOOO
20,São Carlos- São Paulo- Brazil,-22.0175,-47.89083,27,2020-03-16 19:43:36+00:00,"Falta de ar aperto no peito e dificuldade pra respirar" PORRAA mas minha ansiedade faz isso comigo todo dia 
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,9,2020-02-28 03:51:07+00:00,Eu continuo com a tosse e a falta de ar...
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,6,2020-02-25 12:42:06+00:00,De resto sigo na falta de ar tosse e inalação minha bff deste carnaval
22,Avaré- São Paulo- Brazil,-23.09861,-48.92583,33,2020-03-22 23:04:22+00:00,#CNNtodosjuntos As pessoas que começam a ter febre e tosse em média quantos dias demoram para aparecer falta de ar?
22,Avaré- São Paulo- Brazil,-23.09861,-48.92583,31,2020-03-21 14:09:47+00:00,Está com tosse? Sem febre e sem falta de ar? A recomendação é ficar em casa se manifestar tosse e febre procure uma UBS. Se tiver falta de ar procure um atendimento de emergência/hospital.
23,Campinas- São Paulo- Brazil,-22.90556,-47.06083,34,2020-03-23 23:55:15+00:00,Meu chef q foi passa o carna em sp e ta com falta de ar e tosse agr kkkkk cada k uma lágrima
23,Campinas- São Paulo- Brazil,-22.90556,-47.06083,33,2020-03-23 01:37:57+00:00,Sexta me deu crise de ansiedade daí me deu dor de cabeça e enjoo deu ruim no meu intestino e subiu minha temperatura. Febre + falta de ar + mal estar + dor de cabeça. Jurei que tava com coronavírus. Parei de consumir muita informação e deu uma ajudada.
23,Campinas- São Paulo- Brazil,-22.90556,-47.06083,33,2020-03-23 01:26:23+00:00,seus fanaticos que estou com um aqui de 22 anos desde ontem tossindo com falta de ar e febre estamos esperando pra decidir se vai levar no hospital ate amanha bem feito que a economia quebrou se vcs so pensam nisso e nao nas pessoas
23,Campinas- São Paulo- Brazil,-22.90556,-47.06083,33,2020-03-22 23:44:49+00:00,Eu e minha avó estamos com tosse e dor de garganta Obviamente a gente acredita que é só um resfriado já que não estamos com febre nem falta de ar. Contudo a preocupação com ela estar debilitada e com diabetes me ataca a ansiedade :/
23,Campinas- São Paulo- Brazil,-22.90556,-47.06083,33,2020-03-22 21:28:42+00:00,Mantenha a calma se sentir falta de ar e febre procure o atendimento médico urgente.
23,Campinas- São Paulo- Brazil,-22.90556,-47.06083,32,2020-03-21 18:48:00+00:00,E minha mãe me acordando "Yasmin vc ta com febre? Falta de ar? Plmds Yasmin vc pode tá com esse negócio não eu morro junto com vc" e eu mãe calma é só infecção de garganta kkk aí mds ela ta super preocupada
23,Campinas- São Paulo- Brazil,-22.90556,-47.06083,30,2020-03-20 12:19:53+00:00,a mina do trampo não tá c falta de ar e febre e acabou de ir p hospital não ne?
24,Valinhos- São Paulo- Brazil,-22.97056,-46.99583,30,2020-03-19 23:16:47+00:00,Nossa q saco morar em casa de fumante não tem um ar limpo não dá pra respirar em paz já tô gripada com tosse taca fumaça na minha cara ainda pqp não paro de tossirrrrr que ódio
23,Campinas- São Paulo- Brazil,-22.90556,-47.06083,30,2020-03-19 15:05:38+00:00,Efeitos do Corona virus: 1 febre alta 2 falta de ar 3 dançar igual o prior 
23,Campinas- São Paulo- Brazil,-22.90556,-47.06083,29,2020-03-19 11:49:57+00:00,Tosse seca Garganta inflamada Falta de ar Falta mais o que pra completar no bingo?
23,Campinas- São Paulo- Brazil,-22.90556,-47.06083,29,2020-03-19 01:25:15+00:00,To assim também Tosse seca e falta de ar mas sem febre e outros sintomas aaaaa pirando
23,Campinas- São Paulo- Brazil,-22.90556,-47.06083,28,2020-03-18 13:27:27+00:00,Para Bolsonaro o coronga é exagero da mídia. Então suponho que Bolsonaro vai visitar seu amigo doente pegar em sua mão febril respirar o ar de sua tosse.
23,Campinas- São Paulo- Brazil,-22.90556,-47.06083,28,2020-03-18 13:10:53+00:00,Agora é a hora de pensarmos no próximo se você apresentar algum sintoma do corona vírus (tosse febre dor de garganta e/ou falta de ar) fique em casa evite contato com outras pessoas. Os sintomas variam e o quadro pode ser ou não grave para alguns. Não seja um transmissor.
23,Campinas- São Paulo- Brazil,-22.90556,-47.06083,28,2020-03-18 10:40:38+00:00,Acordei a madrugada toda com falta de ar e agora uma puta tosse kkkkkkkkkk rindo de desespero
23,Campinas- São Paulo- Brazil,-22.90556,-47.06083,28,2020-03-18 01:46:41+00:00,Meu filho apresentou sintomas: febre e falta de ar. Tem 1 ano e 6 meses. Levamos na pediatra hoje de manhã e ela colocou além dele eu e minha esposa em isolamento doméstico por 14 dias com atestado para o trabalho que aceitou numa boa. Não há teste em rede privada em Campinas +
23,Campinas- São Paulo- Brazil,-22.90556,-47.06083,27,2020-03-17 01:16:17+00:00,Genteeeeee Daniel tá com febre de novo e dor de cabeça ontem reclamou de falta de ar,ele tá com o coronavírus q q essa produção tá esperando?? #bbb20
23,Campinas- São Paulo- Brazil,-22.90556,-47.06083,27,2020-03-16 16:47:11+00:00,antes da gente se beijar eu queria te perguntar: vc anda sentindo falta de ar? tosse bastante? dor de garganta? resfriado? ou febre?
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,34,2020-03-23 22:56:49+00:00,Eu tive febre e todos os sintomas nos últimos 2 dias. Uma médica amiga me orientou remotamente. Agora estou melhor. Não fui ao hospital já que não tive falta de ar. Não entrei nas estatísticas!
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,34,2020-03-23 22:40:40+00:00,Então se você por algum acaso ficar com febre e falta de ar por favor fique em casa rezando com muito amor e carinho em vez de ocupar um leito de hospital 
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,34,2020-03-23 20:54:33+00:00,OMS baseada no estudo de 56 mil pacientes 80% dos infectados desenvolvem sintomas leves (febre tosse e em alguns casos pneumonia) 14% sintomas severos (dificuldade em respirar e falta de ar) e 6% doença grave (insuficiência pulmonar choque séptico falência de órgãos morte)
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,34,2020-03-23 20:52:25+00:00,minha namorada com falta de ar e febre e eu dormi com ela ontem a corona por que eu?????
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,34,2020-03-23 20:46:00+00:00,Absurdo! Meu pai está com sintomas claro de COVID-19.Foi ao médico duas vezes e mandaram voltar pra casa não fizeram ao menos um teste nele sendo que os sintomas dele é um dos mais graves FALTA DE AR!! Está com tosse seca garganta doendo absurdo Isso! #SPTV #GovSP #BDSP
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,34,2020-03-23 18:25:54+00:00,Acabei de ler umas coisas por aqui e só lembrando algumas recomendações: Caso você apresente sintomas relacionados ao Covid-19 (como dor de cabeça febre tosse dor no corpo) NÃO busque atendimento em pronto socorro a menos que você tenha sintomas graves (como falta de ar). +
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,34,2020-03-23 18:02:14+00:00,um ex é dificuldade para respirar respiração superficial/encurtada chiado tosse... É possível fazer um teste simples: puxar o máximo de ar possível e segurar. Se sentir desconforto é possível que haja alguma alteração e aí buscar mais informações/ajuda
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,34,2020-03-23 17:34:14+00:00,Vi a mulher na Record agora internada falando que teve falta de ar leve e dor de garganta e não teve febre e tosse e tá com Corona depois de ver isso fiquei mais preocupada
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,34,2020-03-23 17:26:03+00:00,To em quarentena mas não isolada. Não tenho mais nenhum sintoma nem tosse nem nada. A falta de ar eu resolvo com a inalação. Mas nossa mente fica confusa né
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,34,2020-03-23 17:04:41+00:00,Meu Deusss!!!! Minha prima esta muito mal com Covid.... esta isolada dentro de casa com febre pneumonia e falta de ar... O negócio é sério gente. Não tem remédio e nem o que fazer. Cuidem -se!! Saiam das ruas. Estamos morrendo.
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,34,2020-03-23 16:39:27+00:00,Queria deixar registrado que estou com falta de ar e tossindo há mais de uma semana. Tive febre na semana. E tenho problemas respiratórios. Fui em dois médicos do convênio na quinta e sexta eles simplesmente mandaram eu voltar pra casa e tomar alguns remédios.
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,34,2020-03-23 16:32:48+00:00,Ruan disse que tá com febre e falta de ar esse menino ainda vai me matar do coração
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,34,2020-03-23 15:41:45+00:00,minha mãe ligou chorando pq o povo do trabalho estão ignorando e tratando ela mal pq ela tá gripada ela já foi no médico fez exame tirou raio x e tá tudo normal.Só gripe.Não tá sentindo febre nem falta de ar,levou até às coisas do médico e aquelas pragas tratando ela igual lixo
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,34,2020-03-23 15:26:15+00:00,Tô com uma tosse seca e sentindo um pouco de falta de ar ...... ai ai Deus 
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,34,2020-03-23 15:11:42+00:00,Quais são os SINTOMAS da COVID-19? Mais comuns -Febre -Tosse seca -Cansaço Alguns pacientes relatam -Coriza Obstrução Nasal - dor na garganta -Diarreia Em alguns casos: Pneumonia dificuldade de respirar falta de ar;
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,34,2020-03-23 15:07:31+00:00,#Denúncia. Um amigo meu com febre há 5 dias tosse dores nas costas e falta se ar foi até o hoapital Leforte da Liberdade SP o médico receitou relaxante muscular mandou o paciente pra casa e não fez o teste para covid 19. Se a saúde dele se complicar a família irá processar
25,Aricanduva- São Paulo- Brazil,-23.57807,-46.50933,33,2020-03-23 14:14:24+00:00,Hoje não fui trabalhar (pq sim a contabilidade não quer fechar) pq tive tosse e falta de ar a noite toda. Aí me chega marmanjo falando "boa" pro fato de eu não ter ido trabalhar POR PROBLEMA DE SAUDE! Tem gente que tá achando divertido não estudar ou trabalhar 
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,33,2020-03-23 13:47:19+00:00,#perguntacoronavirus Tenho bronquite sinto pouca dores no peito e nas costas mas não tenho febre nem dor de garganta Tbm sinto um gosto amargo na boca  mas não sinto falta de ar ,estou em casa devo ir á uma UBS ?
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,33,2020-03-23 13:47:03+00:00,Ontem passei o dia com coriza forte (sem parar/e falta de ar) dor no corpo e febril Hoje a coriza continua um pouco mais fraca sem febre e a dor no corpo continua. Devo me preocupar? Obs: sou do grupo de risco tenho asma. Também estou usando máscara #perguntacorona
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,33,2020-03-23 11:53:19+00:00,1 - Hoje a ansiedade tá batendo tão forte que tá me dando falta de ar 2 - Aí fico mais nervosa ainda pq acho que tô corongada e não quero infectar a minha mãe 3 - Mas aí lembro que não tô com tosse e nenhum dos outros sintomas e deve ser só ansiedade mesmo (Volta pro ponto 1)
26,Mooca- São Paulo- Brazil,-23.55801,-46.59508,33,2020-03-23 11:10:16+00:00,Profissionais da saúde: "Só vá no hospital em casa de febre e falta de ar no demais evite ao máximo." Minha pedra no rim: "Oi! Quero te lembrar que tô aqui e te fazer ter cólicas horrorosas sem poder ir pro hospital!!!!"
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,33,2020-03-23 10:14:45+00:00,Nem me fala eu tô com tosse mas não sinto os outros sintomas mas minha ansiedade as vezes me dá tanta falta de ar que acho que tô infectada aí piora e o surto vem!
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,33,2020-03-23 09:47:22+00:00,eu tenho dificuldade de respirar em algumas situações e com esse negocio meu psicológico jura que eu to com falta de ar
27,Barueri- São Paulo- Brazil,-23.51056,-46.87611,33,2020-03-23 09:29:39+00:00,A maioria já teve e nem sabe. Meu marido ficou gripado e acordava assustado a noite com falta de ar. Durou 3 dias só a noite. Um dia de febre baixa. Todos ficamos gripados na época. Sem febre. Acredito que possa ter sido esse vírus mas como saber?
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,33,2020-03-23 08:34:30+00:00,minha gente do céu me digam que é super normal quando a gripe acaba ficar uma tosse braba que parece asma com catarro e falta de ar pra eu ficar menos desesperada nesse momento? 05h33 e eu na noia do corona vírus
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,33,2020-03-23 07:19:32+00:00,Sim estou com falta de ar febre dor de cabeça cansaço..... Pois é amigo estou mal tô me sentindo perdida pq todo mundo está se protegendo e estou desesperada pq não tô conseguindo respirar direito
28,Osasco- São Paulo- Brazil,-23.5325,-46.79167,33,2020-03-23 06:12:26+00:00,da amiga kkkkkkk dor de cabeça febre e falta de ar
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,33,2020-03-23 04:12:01+00:00,Se alimente faça uma água quente com sal e respire. Não fique pensando nisso e não vá a posto de saúde a menos que esteja com febre e falta de ar. Lá é perigoso demais!
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,33,2020-03-23 04:02:20+00:00,Mano na real Alguém já sabe os sintomas do corona? Tirando falta de ar e febre alta...única coisa que dá pra confirmar Cada site mostra uma tabela diferente...daí como sou lerdo pra k7 Vou ver no G1 https://oglobo.globo.com/sociedade/coronavirus-servico/aprenda-diferenciar-os-sintomas-entre-resfriado-comum-covid-19-24320992 Só fiquei mais lerdo
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,33,2020-03-23 03:51:26+00:00,Mano to preocupada kkkk real Mas assim eu to com tosse ha 3 semanas não tive febre nem diarreia e falta de ar eu já tenho por conta da ansiedade. Então acho que ta tudo bem.
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,33,2020-03-23 03:48:10+00:00,Febre? Hmmm falta de ar? 
29,Sorocaba- São Paulo- Brazil,-23.50167,-47.45806,33,2020-03-23 03:37:14+00:00,Que susto casos de corona? Me diz uma coisa  os sintomas vem todo juntos? Tipo da dor na garganta  febre  falta de ar tudo junto? Eu estou passando mal a uns dias de muita dor de cabeça  no corpo parece que apanhei é um pouco de falta de ar  vc entende? Pode ser corona?
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,33,2020-03-23 03:29:05+00:00,Falta de ar ok tosse ok nariz espirrando ok Acho que é isso galera
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,33,2020-03-23 03:21:47+00:00,Na terça: comecei uma forte tosse seca. No sábado: vou ao médico e descubro que estou com pneumonia ( até os médicos ficaram impressionado). 14 dias em casa e não fizeram o deste para COVID-19. Porém a médica disse: - se sentir falta de ar volto para o hospital. Tô pensativo.
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,33,2020-03-23 02:14:08+00:00,O que tão recomendando é ver se tem tosse e febre. Eu com falta de ar iria COM CTZ
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,33,2020-03-23 01:58:15+00:00,Pelo que vi na tv a pouco se além da febre ele começar a ter tosse ou falta de ar é para ir (de máscara) a um hospital. Mas não sou profissional da saúde eu ligaria no hospital ou no plano de saúde (se for o caso) para confirmar o que fazer.
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,33,2020-03-23 01:45:40+00:00,Estou com febre e dor de cabeça fazem 3 dias não tem tosse e nem falta de ar. Por isso fiquei em casa porém moro com minha avó que tem 68 anos seria melhor eu ficar longe dela? Talvez viajar pra casa da minha tia ou primos? #CNNTodosJuntos
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,33,2020-03-23 01:33:58+00:00,Tive tosse corisa tontura dor de cabeça e falta de ar. Fui no médico e não me testaram só me pediu para ficar em isolamento. Isso terça-feira. Ainda não tinha esse protocolo.
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,33,2020-03-23 01:33:30+00:00,Olá! A falta de ar do coronavírus dificilmente vem sozinha tem febre e dor no corpo associada na maioria das vezes. Se vc já faz tratamento contínuo pra asma não pare com seus medicamentos sem conversar com seu médico. Se a falta de ar persistir ou piorar vá ao pronto-socorro
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,33,2020-03-23 01:30:05+00:00,acredite no seu potencial tenha uma crise de ansiedade ao ponto de ficar com febre e falta de ar e pra piorar a situação ficar pensando que pode ser covid19
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,33,2020-03-23 01:19:57+00:00,Gente eu vivo tossindo espirrando e com falta de ar se ( DEUS MI FREE) eu pegar corouna vairus eu n vou saber só se der febre alta. Faz 27 anos que eu tenho 80% os sintomas.
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,33,2020-03-23 01:19:16+00:00,O ideal é que só vá pro hospital se der a falta de ar com febre alta. Caso não chegue nesse ponto lide como uma gripe e trate quietinha em casa :)
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,33,2020-03-23 01:18:13+00:00,Isso! Só vá ao hospital se tiver falta de ar febre que não baixa ou mal estar importante que não passe com medicamentos comuns como dipirona...
